,Місяць,Картопля,Ковбасні вироби,Крупи,Мʼясо свійських тварин та птиці,Макарони,"Молоко пастеризоване жирністю до 2,6% включно",Молочні продукти,Овочі,Олія соняшникова,Риба,Сир,Хліб,Цукор,Яблука,Яйця,basket_price,first_diff_Картопля,first_diff_Ковбасні вироби,first_diff_Крупи,first_diff_Мʼясо свійських тварин та птиці,first_diff_Макарони,"first_diff_Молоко пастеризоване жирністю до 2,6% включно",first_diff_Молочні продукти,first_diff_Овочі,first_diff_Олія соняшникова,first_diff_Риба,first_diff_Сир,first_diff_Хліб,first_diff_Цукор,first_diff_Яблука,first_diff_Яйця,first_diff_basket_price,seasonal,trend,deseasonalized,detrended,salary,basket_salary_ratio,detrended_b_s_ratio
15,2020-04-01,14.75,87.5,21.2,100.84,18.84,25.01,52.54,9.69,34.4,79.1,107.41,19.79,15.25,19.25,16.34,1522.06,1.8599999999999994,-0.4300000000000068,1.1999999999999993,0.6000000000000085,0.39000000000000057,0.010000000000001563,0.25,2.2699999999999996,0.10999999999999943,0.7199999999999989,0.030000000000001137,0.08999999999999986,0.6999999999999993,1.9499999999999993,1.3599999999999994,43.63999999999987,0.007648195724499129,0.15156663689756267,0.1555591197925592,12.129999999999882,9325.93,0.16320731551705833,0.005238057583002859
16,2020-05-01,15.27,87.34,21.54,98.04,18.99,25.09,52.34,9.53,34.14,79.96,107.62,19.84,15.14,25.68,19.06,1537.82,0.5199999999999996,-0.1599999999999966,0.33999999999999986,-2.799999999999997,0.14999999999999858,0.0799999999999983,-0.19999999999999574,-0.16000000000000014,-0.259999999999998,0.8599999999999994,0.21000000000000796,0.05000000000000071,-0.10999999999999943,6.43,2.719999999999999,15.759999999999991,0.0064228046340554425,0.15004832785704736,0.1546675422221153,-29.440000000000055,9546.32,0.16109034685617074,-0.0008915775704439188
17,2020-06-01,16.06,87.34,21.48,98.75,19.18,24.95,52.56,10.16,34.31,80.19,106.72,19.97,14.94,34.71,19.1,1564.26,0.7899999999999991,0.0,-0.05999999999999872,0.7099999999999937,0.19000000000000128,-0.14000000000000057,0.21999999999999886,0.6300000000000008,0.1700000000000017,0.23000000000000398,-0.9000000000000057,0.129999999999999,-0.20000000000000107,9.030000000000001,0.0400000000000027,26.440000000000055,-0.010319238923407496,0.1484974314942643,0.15001798988122086,15.079999999999927,11197.38,0.13969875095781337,-0.004649552340894425
18,2020-07-01,12.67,86.64,21.33,99.16,19.26,24.91,52.61,8.78,34.31,80.21,106.3,20.03,14.79,38.06,16.22,1533.43,-3.389999999999999,-0.7000000000000028,-0.15000000000000213,0.4099999999999966,0.08000000000000185,-0.03999999999999915,0.04999999999999716,-1.3800000000000008,0.0,0.01999999999999602,-0.4200000000000017,0.060000000000002274,-0.15000000000000036,3.3500000000000014,-2.8800000000000026,-30.829999999999927,0.004197322170124578,0.14691110614131533,0.15168103938049626,-13.009999999999764,9837.35,0.15587836155062085,0.0016630494992753986
19,2020-08-01,10.02,86.38,21.18,100.42,19.11,24.83,52.63,7.23,34.62,80.1,106.31,20.02,14.71,28.96,16.79,1493.09,-2.6500000000000004,-0.2600000000000051,-0.14999999999999858,1.2600000000000051,-0.15000000000000213,-0.08000000000000185,0.020000000000003126,-1.549999999999999,0.30999999999999517,-0.10999999999999943,0.010000000000005116,-0.010000000000001563,-0.0799999999999983,-9.100000000000001,0.5700000000000003,-40.340000000000146,0.009014788668668151,0.1452827431805544,0.14637508318664585,-43.36000000000013,9608.67,0.155389871855314,-0.0053059561938504085
20,2020-09-01,9.08,87.42,21.02,100.9,19.08,25.0,52.83,6.34,35.1,80.73,106.45,20.22,14.94,22.31,17.99,1478.33,-0.9399999999999995,1.0400000000000063,-0.16000000000000014,0.480000000000004,-0.030000000000001137,0.1700000000000017,0.19999999999999574,-0.8900000000000006,0.480000000000004,0.6300000000000097,0.14000000000000057,0.1999999999999993,0.22999999999999865,-6.650000000000002,1.1999999999999993,-14.759999999999991,-0.00031533537641077796,0.14360912422035588,0.14016885307083757,-14.170000000000073,10570.56,0.13985351769442678,-0.006206230115808287
21,2020-10-01,8.96,88.92,20.92,101.71,19.18,25.19,53.12,5.86,37.53,80.31,108.25,20.51,18.3,19.46,22.19,1494.45,-0.11999999999999922,1.5,-0.09999999999999787,0.8099999999999881,0.10000000000000142,0.19000000000000128,0.28999999999999915,-0.47999999999999954,2.4299999999999997,-0.4200000000000017,1.7999999999999972,0.2900000000000027,3.360000000000001,-2.849999999999998,4.200000000000003,16.12000000000012,-0.0008145220548589445,0.14188798170786637,0.13807794254044511,0.8900000000001,10887.46,0.13726342048558618,-0.0020909105303924536
22,2020-11-01,9.23,90.82,21.2,101.89,19.6,25.39,53.76,5.36,40.11,80.97,110.26,20.98,19.7,18.17,23.71,1513.43,0.2699999999999996,1.8999999999999915,0.2799999999999976,0.18000000000000682,0.4200000000000017,0.1999999999999993,0.6400000000000006,-0.5,2.5799999999999983,0.6599999999999966,2.010000000000005,0.46999999999999886,1.3999999999999986,-1.2899999999999991,1.5199999999999996,18.980000000000018,0.0009352823992102256,0.14014082408375647,0.14137499939476272,34.13000000000011,10634.72,0.14231028179397295,0.0032970568543176093
23,2020-12-01,10.15,91.43,21.55,102.09,20.17,25.6,54.14,5.32,42.07,80.97,111.46,21.24,20.9,18.21,27.48,1541.15,0.9199999999999999,0.6100000000000136,0.3500000000000014,0.20000000000000284,0.5700000000000003,0.21000000000000085,0.38000000000000256,-0.040000000000000036,1.9600000000000009,0.0,1.1999999999999886,0.259999999999998,1.1999999999999993,0.03999999999999915,3.7699999999999996,27.720000000000027,-0.019763512160868576,0.1384195028441394,0.13546068682707982,37.47000000000003,13320.55,0.11569717466621124,-0.005914312567682906
24,2021-01-01,11.14,93.22,21.87,104.01,20.79,25.41,54.3,5.82,44.04,81.96,113.92,21.89,21.89,19.08,32.31,1582.47,0.9900000000000002,1.789999999999992,0.3200000000000003,1.9200000000000017,0.6199999999999974,-0.19000000000000128,0.1599999999999966,0.5,1.9699999999999989,0.9899999999999949,2.460000000000008,0.6500000000000021,0.990000000000002,0.8699999999999974,4.830000000000002,41.319999999999936,-0.0005570456571106074,0.13680293283966863,0.1378927603891512,54.36999999999989,11522.64,0.1373357147320406,0.0024320735620713685
